id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,acidente_fatal,total_vitimas
691428,2025-05-15,quinta-feira,07:10:00,RJ,101,328,NITEROI,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta;Ponte,Não,3,0,2,0,1,0,2,2,"-22,87083349","-43,16635877",SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,0,2
691430,2025-05-15,quinta-feira,13:40:00,SP,381,89,GUARULHOS,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,"-23,49200027","-46,5595722",SPRF-SP,DEL03-SP,UOP01-DEL03-SP,0,1
691435,2025-05-15,quinta-feira,13:20:00,SP,381,85,SAO PAULO,Objeto estático sobre o leito carroçável,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Múltipla,Aclive;Reta;Viaduto,Sim,1,0,1,0,0,0,1,1,"-23,46233","-46,57097",SPRF-SP,DEL03-SP,UOP01-DEL03-SP,0,1
691438,2025-05-15,quinta-feira,14:30:00,SE,235,"21,1",LARANJEIRAS,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,1,"-10,834992","-37,22202301",SPRF-SE,DEL01-SE,UOP02-DEL01-SE,0,1
691440,2025-05-15,quinta-feira,12:30:00,RO,435,"31,9",VILHENA,Avarias e/ou desgaste excessivo no pneu,Eventos atípicos,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,2,0,0,0,2,1,"-12,8266548","-60,37219883",SPRF-RO,DEL04-RO,UOP02-DEL04-RO,0,2
691441,2025-05-15,quinta-feira,15:00:00,PE,232,"96,8",BEZERROS,Ausência de reação do condutor,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Declive;Reta,Não,1,0,1,0,0,0,1,1,"-8,233668","-35,715439",SPRF-PE,DEL02-PE,UOP02-DEL02PE,0,1
691443,2025-05-15,quinta-feira,14:25:00,RJ,40,102,DUQUE DE CAXIAS,Curva acentuada,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,1,0,1,0,0,0,1,1,"-22,61211414","-43,28670907",SPRF-RJ,DEL01-RJ,UOP02-DEL01-RJ,0,1
691444,2025-05-15,quinta-feira,14:50:00,SC,101,"130,7",BALNEARIO CAMBORIU,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,0,0,2,0,0,2,"-26,9892038","-48,66411209",SPRF-SC,DEL04-SC,UOP03-DEL04-SC,0,0
691447,2025-05-15,quinta-feira,12:30:00,PB,104,6,NOVA FLORESTA,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Garoa/Chuvisco,Simples,Reta,Não,2,1,1,0,0,0,1,2,"-6,470073","-36,18049",SPRF-PB,DEL02-PB,UOP04-DEL02-PB,1,2
691448,2025-05-15,quinta-feira,15:55:00,SP,116,218,GUARULHOS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,0,0,2,0,0,2,"-23,45764911","-46,47939491",SPRF-SP,DEL01-SP,UOP01-DEL01-SP,0,0
691450,2025-05-15,quinta-feira,16:20:00,ES,101,255,SERRA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,"-20,048857","-40,3866912",SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,1
691451,2025-05-15,quinta-feira,15:25:00,RJ,493,"23,5",MAGE,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,"-22,65693125","-43,06714416",SPRF-RJ,DEL04-RJ,UOP02-DEL04-RJ,0,1
691454,2025-05-15,quinta-feira,10:24:00,RJ,101,316,SAO GONCALO,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,"-22,7934208","-43,0276608",SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,0,1
691455,2025-05-15,quinta-feira,15:35:00,PR,376,"625,9",SAO JOSE DOS PINHAIS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Múltipla,Retorno Regulamentado;Interseção de Vias;Curva;Rotatória;Viaduto;Declive,Não,1,1,0,0,0,0,0,1,"-25,66587862","-49,15373325",SPRF-PR,DEL01-PR,UOP04-DEL01-PR,1,1
691456,2025-05-15,quinta-feira,17:00:00,GO,414,440,ANAPOLIS,Acessar a via sem observar a presença dos outros veículos,Colisão frontal,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta;Declive,Sim,2,0,1,0,1,0,1,2,"-16,28384547","-48,94307826",SPRF-GO,DEL02-GO,UOP01-DEL02-GO,0,1
691457,2025-05-15,quinta-feira,15:50:00,PR,376,"253,6",CALIFORNIA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,3,0,1,1,1,0,2,2,"-23,6587454","-51,3712025",SPRF-PR,DEL07-PR,UOP03-DEL07-PR,0,2
691458,2025-05-15,quinta-feira,16:30:00,PR,476,1,ADRIANOPOLIS,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-24,65685","-48,99367",SPRF-PR,DEL01-PR,UOP01-DEL01-PR,0,1
691459,2025-05-15,quinta-feira,17:30:00,MG,459,57,SANTA RITA DE CALDAS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,2,0,1,0,2,2,"-22,080353","-46,240988",SPRF-MG,DEL09-MG,UOP01-DEL09-MG,0,2
691461,2025-05-15,quinta-feira,16:40:00,PB,230,"135,8",CAMPINA GRANDE,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,2,0,2,0,0,0,2,1,"-7,281598","-35,769207",SPRF-PB,DEL02-PB,UOP01-DEL02-PB,0,2
691462,2025-05-15,quinta-feira,14:40:00,AM,174,885,MANAUS,Ultrapassagem Indevida,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Reta;Declive,Não,2,0,0,1,1,0,1,2,"-2,94140156","-60,03391743",SPRF-AM,DEL01-AM,UOP01-DEL01-AM,0,1
691463,2025-05-15,quinta-feira,17:30:00,SP,116,219,GUARULHOS,Manobra de mudança de faixa,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Reta,Sim,2,0,2,0,0,0,2,1,"-23,46548883","-46,50002135",SPRF-SP,DEL01-SP,UOP01-DEL01-SP,0,2
